"id","subject","ref_f0","dir_f0","ref_ser","dir_ser","ref_voice","dir_voice","vocoder","vocoder_name","vocoder_description","threshold","threshold_f0","threshold_ser","sd","response_datetime","i"
1,"Nawal-test",242,242,1,0.80292,"female","male-vtl",9,"n-12ch-4ord-0mm","Noise-band vocoder, 12 bands from 150 to 7000 Hz, shift of 0 mm, order 4, 300 Hz envelope cutoff.",3.08580,0,-3.08580,0.54772,"2014-11-20 14:47:42",1
2,"Nawal-test",242,242,1,1.49830,"female","child-vtl",5,"n-12ch-4ord-0mm","Noise-band vocoder, 12 bands from 150 to 7000 Hz, shift of 0 mm, order 4, 300 Hz envelope cutoff.",4.55960,0,4.55960,0.57009,"2014-11-20 14:51:00",2
3,"Nawal-test",242,242,1,0.80292,"female","male-vtl",3,"n-12ch-4ord-0mm","Noise-band vocoder, 12 bands from 150 to 7000 Hz, shift of 0 mm, order 4, 300 Hz envelope cutoff.",8.74750,0,-8.74750,2.31950,"2014-11-20 14:55:34",3
4,"Nawal-test",242,242,1,0.80292,"female","male-vtl",6,"n-12ch-4ord-3mm","Noise-band vocoder, 12 bands from 150 to 7000 Hz, shift of 3 mm, order 4, 300 Hz envelope cutoff.",3.51850,0,-3.51850,0.62249,"2014-11-20 14:59:05",4
5,"Nawal-test",242,242,1,0.80292,"female","male-vtl",8,"n-12ch-4ord-3mm","Noise-band vocoder, 12 bands from 150 to 7000 Hz, shift of 3 mm, order 4, 300 Hz envelope cutoff.",1.39890,0,-1.39890,0.57064,"2014-11-20 15:20:24",5
6,"Nawal-test",242,242,1,1.49830,"female","child-vtl",6,"n-12ch-4ord-3mm","Noise-band vocoder, 12 bands from 150 to 7000 Hz, shift of 3 mm, order 4, 300 Hz envelope cutoff.",3.94280,0,3.94280,1.02640,"2014-11-20 15:25:30",6
7,"Nawal-test",242,242,1,0.80292,"female","male-vtl",7,"n-12ch-4ord-0mm","Noise-band vocoder, 12 bands from 150 to 7000 Hz, shift of 0 mm, order 4, 300 Hz envelope cutoff.",1.55550,0,-1.55550,0.49664,"2014-11-21 09:52:02",7
8,"Nawal-test",242,242,1,1.49830,"female","child-vtl",6,"n-12ch-4ord-3mm","Noise-band vocoder, 12 bands from 150 to 7000 Hz, shift of 3 mm, order 4, 300 Hz envelope cutoff.",2.16740,0,2.16740,0.99202,"2014-11-21 10:00:20",8
9,"S01",242,242,1,1.49830,"female","child-vtl",1,"n-12ch-4ord-0mm","Noise-band vocoder, 12 bands from 150 to 7000 Hz, shift of 0 mm, order 4, 300 Hz envelope cutoff.",7.29290,0,7.29290,2.05180,"2013-11-27 13:41:54",1
10,"S01",242,242,1,0.80292,"female","male-vtl",5,"n-12ch-8ord-0mm","Noise-band vocoder, 12 bands from 150 to 7000 Hz, shift of 0 mm, order 8, 300 Hz envelope cutoff.",10.23570,0,-10.23570,1.94940,"2013-11-27 13:45:44",2
11,"S01",242,242,1,1.49830,"female","child-vtl",7,"n-12ch-8ord-4mm","Noise-band vocoder, 12 bands from 150 to 7000 Hz, shift of 4 mm, order 8, 300 Hz envelope cutoff.",10.19530,0,10.19530,3.99930,"2013-11-27 13:49:01",3
12,"S01",242,242,1,1.49830,"female","child-vtl",2,"n-12ch-4ord-2mm","Noise-band vocoder, 12 bands from 150 to 7000 Hz, shift of 2 mm, order 4, 300 Hz envelope cutoff.",5.08090,0,5.08090,1.50860,"2013-11-27 13:52:19",4
13,"S01",242,242,1,0.80292,"female","male-vtl",8,"n-12ch-8ord-6mm","Noise-band vocoder, 12 bands from 150 to 7000 Hz, shift of 6 mm, order 8, 300 Hz envelope cutoff.",3.18340,0,-3.18340,0.79328,"2013-11-27 13:56:44",5
14,"S01",242,242,1,0.80292,"female","male-vtl",4,"n-12ch-4ord-6mm","Noise-band vocoder, 12 bands from 150 to 7000 Hz, shift of 6 mm, order 4, 300 Hz envelope cutoff.",5.35700,0,-5.35700,1.50290,"2013-11-27 14:00:27",6
